resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility
AIHE-PY09,Temporal validation and drift monitoring,12,py; ipynb; xlsx; ods; csv; json; png; md,"Tracks discrimination, calibration error, score distribution, and feature drift across time periods.",V1.0,public,"11, 12",chapters/12/python_analytics/AIHE-PY09_temporal_validation_and_drift_monitoring,Decision Architecture and Lifecycle Governance,AIHE-D03; AIHE-D05; AIHE-B05; AIHE-CASE12,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 12; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY27,"Algorithmovigilance, lifecycle cadence, drift, and incident monitoring",12,py; ipynb; xlsx; ods; csv; json; png; md,"Monitors technical, clinical, workflow, equity, economic, and trust indicators against warning and stop thresholds over time.",V1.0,public,"5, 11, 12",chapters/12/python_analytics/AIHE-PY27_algorithmovigilance_lifecycle_cadence_drift_and_incident_monitoring,Decision Architecture and Lifecycle Governance,AIHE-D03; AIHE-D04; AIHE-CASE12,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 12; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY29,AI-HED completeness and institutional decision-quality audit,12,py; ipynb; xlsx; ods; csv; json; png; md,"Checks whether a proposed AI decision dossier covers the problem, comparator, evidence, data, economics, ethics, implementation, monitoring, and exit requirements.",V1.0,public,12,chapters/12/python_analytics/AIHE-PY29_ai_hed_completeness_and_institutional_decision_quality_audit,Decision Architecture and Lifecycle Governance,AIHE-D02; AIHE-CASE12,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 12; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-AE,AI-HED Completeness and Decision-Quality Review,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Review dossier completeness, confidence, inconsistencies, mandatory safeguards, decision readiness, and remediation.",V1.0,optional,12,chapters/12/core/AIHE-D02/supp/AIHE-AE,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-AE.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-E,Applied Case and Decision Review Template,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,Apply the book architecture to an institutional case and produce a defendable decision with conditions and lifecycle controls.,V1.0,optional,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",chapters/12/core/AIHE-D02/supp/AIHE-E,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-E.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX02,AI System Inventory and Policy Register,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Maintain a controlled inventory of proposed and deployed AI systems, owners, versions, risk levels, and review dates.",V1.0,optional,"9,10,12",chapters/12/core/AIHE-D02/supp/AIHE-EX02,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX02.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX10,Workflow Change and Training Competency Log,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Document role, workflow, training, competency, downtime, escalation, refresh, and adoption requirements.",V1.0,optional,"3,4,12",chapters/12/core/AIHE-D02/supp/AIHE-EX10,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX10.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX11,Material Change and Renewal Review,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assess model, data, interface, workflow, vendor, contract, policy, performance, risk, and annual renewal changes.",V1.0,optional,"9,12,14",chapters/12/core/AIHE-D05/supp/AIHE-EX11,Decision Architecture and Lifecycle Governance,AIHE-D05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX11.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX12,Incident Corrective Action and Reconstruction Log,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Classify and reconstruct technical, clinical, workflow, privacy, cybersecurity, equity, and communication incidents.",V1.0,optional,"5,10,12",chapters/12/core/AIHE-D04/supp/AIHE-EX12,Decision Architecture and Lifecycle Governance,AIHE-D04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX12.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX14,Final Board Recommendation Pack,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Prepare a decision-ready executive recommendation, options, evidence, economics, residual risk, dissent, conditions, owners, and next review.",V1.0,optional,"1,6,7,9,10,11,12,15",chapters/12/core/AIHE-D02/supp/AIHE-EX14,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX14.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-H,AI Project One-Page Decision Memo,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Summarize the decision problem, comparator, evidence, economics, risks, implementation, conditions, and decision requested.",V1.0,optional,"1,6,7,9,10,12",chapters/12/core/AIHE-D02/supp/AIHE-H,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-H.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-J,Lifecycle and Future-Proofing Toolkit,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Bundle lifecycle checklists for monitoring, version control, scenario planning, policy updates, procurement, and decommissioning.",V1.0,optional,"9,12,13,14,15",chapters/12/core/AIHE-D05/supp/AIHE-J,Decision Architecture and Lifecycle Governance,AIHE-D05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-J.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-K,AI-HEVG Assessment Workbook,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assess problem relevance, data, validity, economics, ethics, feasibility, lifecycle governance, safeguards, and final decision.",V1.0,optional,"1,2,6,7,10,12",chapters/12/core/AIHE-D02/supp/AIHE-K,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-K.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-P,AI-HED Dossier Template,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Maintain a versioned evidence, economics, governance, implementation, monitoring, update, and decision record.",V1.0,optional,"6,7,8,9,10,11,12",chapters/12/core/AIHE-D02/supp/AIHE-P,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-P.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-Q,GATED-AI Gate Record,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Control commitment through problem, evidence, data, economics, governance, implementation, contract, and lifecycle gates.",V1.0,optional,"9,11,12",chapters/12/core/AIHE-D02/supp/AIHE-Q,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-Q.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-R,VALIDATE-AI Implementation Plan,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,Manage implementation as an evidence-producing sequence from problem verification through continuous evaluation.,V1.0,optional,"4,11,12",chapters/12/core/AIHE-D02/supp/AIHE-R,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-R.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-S,"Algorithmovigilance Dashboard, Cadence, and Incident Record",12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Operate daily technical checks, periodic service and economic review, incident classification, reconstruction, escalation, and annual renewal.",V1.0,optional,"5,11,12",chapters/12/core/AIHE-D03/supp/AIHE-S,Decision Architecture and Lifecycle Governance,AIHE-D03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-S.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-T,AI De-adoption and Decommissioning Plan,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Define stopping triggers, fallback, transition, data disposition, communication, contract exit, validation, and post-retirement review.",V1.0,optional,"9,12,14",chapters/12/core/AIHE-D05/supp/AIHE-T,Decision Architecture and Lifecycle Governance,AIHE-D05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-T.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-V,Validation Protocol for the Proposed Framework Package,12,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Define construct, content, reliability, feasibility, decision, implementation, and prospective validation for proposed frameworks.",V1.0,optional,"11,12",chapters/12/core/AIHE-D02/supp/AIHE-V,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-V.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-E01,Circular-Economy and Sustainable-AI Assessment,13,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Apply the circularity hierarchy from prevention and reduction through sharing, maintenance, reuse, refurbishment, recovery, and disposal.",V1.0,public,"13, 14, 15",chapters/13/core/AIHE-E01,Circular Health Systems and Resource Stewardship,AIHE-CE1,Core,AIHE-CE1,yes,docs/forms/AIHE-E01/index.html,yes,docs/process/resources/AIHE-E01.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 13; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Assess circularity and asset stewardship,default
AIHE-CASE13,Circular AI Infrastructure Strategy,13,md; csv; json; xlsx; ods,"Can the health system meet its analytic need through avoidance, optimization, sharing, and life extension before acquiring new infrastructure?",V1.0,public,13,chapters/13/worked_examples/AIHE-CASE13_circular_ai_infrastructure_strategy,Circular Health Systems and Resource Stewardship,AIHE-E01; AIHE-CE1; AIHE-CE4; AIHE-I; AIHE-PY36; AIHE-PY39,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 13 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY36,"Environmental, material-flow, and lifecycle resource accounting",13,py; ipynb; xlsx; ods; csv; json; png; md,"Quantifies lifecycle cost, energy, water, carbon, cost per useful output, and circularity indicators for AI-related assets and services.",V1.0,public,"13, 15",chapters/13/python_analytics/AIHE-PY36_environmental_material_flow_and_lifecycle_resource_accounting,Circular Health Systems and Resource Stewardship,AIHE-E01; AIHE-E05; AIHE-CASE13,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 13; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY39,Annual circularity portfolio review and trend monitoring,13,py; ipynb; xlsx; ods; csv; json; png; md,Provides a reproducible synthetic example for annual circularity portfolio review and trend monitoring.,V1.0,public,"12, 13, 14, 15",chapters/13/python_analytics/AIHE-PY39_annual_circularity_portfolio_review_and_trend_monitoring,Circular Health Systems and Resource Stewardship,AIHE-E05; AIHE-CASE13,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 13; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-CE1,Circular Economy and Sustainable AI Assessment,13,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assess service need, the circularity hierarchy, resource demand, rebound, resilience, equity, evidence, and lifecycle review across AI-enabled health services.",V1.0,optional,"13,14,15",chapters/13/core/AIHE-E01/supp/AIHE-CE1,Circular Health Systems and Resource Stewardship,AIHE-E01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-CE1.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 13,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-E02,Circular Procurement and Supplier Scorecard,14,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Evaluate durability, modularity, repairability, interoperability, resource information, take-back, pricing, residual value, and exit.",V1.0,public,"9, 13, 14",chapters/14/core/AIHE-E02,Circular Procurement and Asset Stewardship,AIHE-CE2,Core,AIHE-CE2,yes,docs/forms/AIHE-E02/index.html,yes,docs/process/resources/AIHE-E02.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 14; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Assess circularity and asset stewardship,default
AIHE-E03,Asset-Life Decision Record,14,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Compare maintain, refurbish, replace, and shared-service options across suitability, life, cost, resources, resilience, and disposition.",V1.0,public,"6, 14, 15",chapters/14/core/AIHE-E03,Circular Procurement and Asset Stewardship,AIHE-CE3,Core,AIHE-CE3,yes,docs/forms/AIHE-E03/index.html,yes,docs/process/resources/AIHE-E03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 14; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Assess circularity and asset stewardship,default
AIHE-CASE14,"Imaging Platform: Maintain, Refurbish, Replace, or Share",14,md; csv; json; xlsx; ods,"Which asset-life strategy preserves safe service value while controlling lifecycle cost, downtime, material demand, and dependency?",V1.0,public,14,chapters/14/worked_examples/AIHE-CASE14_imaging_platform_maintain_refurbish_replace_or_share,Circular Procurement and Asset Stewardship,AIHE-E02; AIHE-E03; AIHE-CE2; AIHE-CE3; AIHE-D01; AIHE-T; AIHE-PY37,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 14 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY37,Circular asset-life option analysis,14,py; ipynb; xlsx; ods; csv; json; png; md,"Ranks circular asset and service options using discounted cost, carbon, downtime, circularity, safety, and non-compensatory safeguards.",V1.0,public,"6, 14, 15",chapters/14/python_analytics/AIHE-PY37_circular_asset_life_option_analysis,Circular Procurement and Asset Stewardship,AIHE-E03; AIHE-CASE14,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 14; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-CE2,Circular Procurement and Supplier Scorecard,14,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Evaluate lifecycle specifications, durability, modularity, repairability, service support, product circularity data, take-back, residual value, and responsible end of life.",V1.0,optional,"9,13,14",chapters/14/core/AIHE-E02/supp/AIHE-CE2,Circular Procurement and Asset Stewardship,AIHE-E02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-CE2.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 14,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-CE3,Circular Asset-Life Decision Workbook,14,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Compare maintain, repair, upgrade, share, refurbish, remanufacture, replace, and service-model options using safety, cost, life, validation, resilience, and residual value.",V1.0,optional,"6,9,14,15",chapters/14/core/AIHE-E03/supp/AIHE-CE3,Circular Procurement and Asset Stewardship,AIHE-E03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-CE3.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 14,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-E04,Circularity-Adjusted Evaluation Record,15,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Extend conventional economic evaluation with environmental, material, residual-value, resilience, equity, rebound, and burden evidence.",V1.0,public,15,chapters/15/core/AIHE-E04,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-CE6,Core,AIHE-CE6,yes,docs/forms/AIHE-E04/index.html,yes,docs/process/resources/AIHE-E04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 15; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Assess circularity and asset stewardship,default
AIHE-E05,"Environmental, Circularity, and Disposition Dashboard",15,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Monitor acquisition, utilization, asset life, resource intensity, materials, take-back, recovery, rebound, resilience, and disposition.",V1.0,public,"13, 14, 15",chapters/15/core/AIHE-E05,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-CE4; AIHE-CE5; AIHE-CE7,Core,AIHE-CE4; AIHE-CE5; AIHE-CE7,yes,docs/forms/AIHE-E05/index.html,yes,docs/process/resources/AIHE-E05.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 15; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Assess circularity and asset stewardship,default
AIHE-CASE15,"Edge, Cloud, or Shared Diagnostic AI: Circularity-Adjusted Evaluation",15,md; csv; json; xlsx; ods,"How does the preferred option change when conventional economic value is considered with environmental effects, residual value, resilience, equity, and rebound?",V1.0,public,15,chapters/15/worked_examples/AIHE-CASE15_edge_cloud_or_shared_diagnostic_ai_circularity_adjusted_evaluation,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-E04; AIHE-E05; AIHE-CE6; AIHE-CE7; AIHE-B01; AIHE-B05; AIHE-PY38,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 15 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY38,Circularity-adjusted economic evaluation and sustainable value,15,py; ipynb; xlsx; ods; csv; json; png; md,Provides a reproducible synthetic example for circularity-adjusted economic evaluation and sustainable value.,V1.0,public,"7, 8, 15",chapters/15/python_analytics/AIHE-PY38_circularity_adjusted_economic_evaluation_and_sustainable_value,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-E04; AIHE-CASE15,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 15; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-CE4,Environmental Footprint and Circularity Dashboard,15,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Monitor absolute and per-functional-unit energy, water, carbon, materials, utilization, repair, life extension, recovery, rebound, resilience, and distributional effects.",V1.0,optional,"5,12,13,14,15",chapters/15/core/AIHE-E05/supp/AIHE-CE4,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-E05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-CE4.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 15,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-CE5,Circular Decommissioning and Asset Disposition Record,15,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Document continuity, secure erasure, chain of custody, recipient due diligence, reuse, refurbishment, recovery, residual value, communication, and closure.",V1.0,optional,"12,13,14",chapters/15/core/AIHE-E05/supp/AIHE-CE5,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-E05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-CE5.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 15,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-CE6,Circularity-Adjusted Evaluation Record,15,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Specify a common functional unit and boundary; integrate clinical, lifecycle-cost, environmental, residual-value, resilience, equity, rebound, and uncertainty evidence without arbitrary monetization or double counting.",V1.0,optional,"6,7,8,15",chapters/15/core/AIHE-E04/supp/AIHE-CE6,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-E04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-CE6.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 15,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
